1;ADI25AS;ADITYA RIZKY ANUGERAH PT.;kontraktor1@herobimbel.id;;031-8673492, 081553059099;KONSTRUKSI KAPAL, PIPING SYSTEM,ACCOMODATION, MEKANIKAL & ELEKTRIKAL;;subkontraktor;;2017-11-03;PERUM GRIYA MAPAN SENTOSA BLOK EF - 50 WARU SIDOARJO 61256;031-8673492;JANGKUNG NUGROHO, S.T.;;;;JASA;JASA
2;AKA02AS;AKASIA TEKNOLOGI PT.;kontraktor2@herobimbel.id;;031- 7532074;KONSTRUKSI DAN PERMESINAN;;subkontraktor;;2018-09-30;WISMA LIDAH KULON B - 31 RT 008 RW 004, LIDAH KULON - LAKARSANTRI SURABAYA.;031- 7532074;Ir. M. ADIL WICAKSANA;M.ADIL;081-332398981;;JASA;JASA
3;ALK04AS;ALKON TRAININDO UTAMA PT.;kontraktor3@herobimbel.id;;031-5328058 , 5328062; KONSULTASI MANAJEMEN,TRAINING;;subkontraktor;;2017-08-07;JL.KEDUNGDORO 74 - 76/ B-19 SURABAYA;031-5328059;H.M. MAD MOERAD BASO, Ph.D;;;;JASA;JASA
4;ALR01AS;ALREDHO TEKNIK PT.;kontraktor4@herobimbel.id;;013-70392590, 081-231125657;PENGELASAN,TANK CLEANING,AKOMODASI ,PENGGERAK UTAMA,POMPA,MACHINING,BALANCING,AC,MOTOR GENERATOR;;subkontraktor;;2018-12-15;"PONDOK BENOWO INDAH A4 
NO.54, SURABAYA.";;INDRO SUPRAYITNO;INDRO SUPRAYITNO;013-70392590, 081-231125657;suprayitno.indro@yahoo.com;JASA;JASA
5;ALS06AS;ALSA PRATAMA KARYA PT.;kontraktor5@herobimbel.id;;031-8051273, 70155556;PENGECATAN & COATING,AKOMODASI INTERIOR,MOTOR & GENERATOR,PENGKABELAN,INSTALASI DAYA & PENERANGAN;;subkontraktor;;2017-04-20;"JEMUR ANDAYANI NO.5 RUKO SURYA INTI PRATAMA BLOK C-30 SURABAYA.
PONDOK MUTIARA BLOK BB/14
SIDOARJO.";031-8051273,031-3292319;Ir. ALI  MUSAFAK;Ir. ALI  MUSAFAK;031-8051273, 70155556;;JASA;JASA
6;AME14AS;AMERTA TIRTA BUWANA PT.;kontraktor6@herobimbel.id;;031-3281807 , 3281909;ASIS TUG BOAT;;subkontraktor;;2019-03-14;PERUM KEMIRI INDAH C2-7 KEMIRI, SIDOARJO.61251;031-3281533;SUWARSO;;;;JASA;JASA
7;ARA05AS;ARAH JAYA MANDIRI PT.;kontraktor7@herobimbel.id;;031-3537526, 70271979; KONSTRUKSI, BLASTINGg & PAINTING,;;subkontraktor;;2018-11-28;"JL. REMBANG NO.62
SURABAYA.";031-3524416;Drs. H. ABDURRAHMAN GHUFRON;;;;JASA;JASA
8;ARV01AS;ARVET UNGGUL JAYA PT.;kontraktor8@herobimbel.id;;031-3761291, 081358326252;GENERAL SERVICE,MEKANIKAL DAN ELEKTRIKAL,PIPING VALVE DAN PROPULSI;;subkontraktor;;2018-02-15;JL. BULAK BANTENG LOR SEKOLAHAN NO.16 SURABAYA;;Ir.IDAM SULAKSONO;;;;JASA;JASA
9;ATA01AS;ATAMORA TEHNIK MAKMUR PT.;kontraktor9@herobimbel.id;;021-6326740;KONSTRUKSI OIL & GAS;;subkontraktor;;2017-08-25;JL. TERNATE NO. 21 H JAKARTA PUSAT 10150;021-6326557;DERITARY;ALEX;081217777866;;JASA;JASA
10;AUL03AS;AULIA KARYA PERDANA PT.;kontraktor10@herobimbel.id;;031-8538731, 031-8557107;KONSTRUKSI KAPAL, PIPING, ELECTRICAL SYSTEM;;subkontraktor;;2017-12-03;TAMAN ALOHA H7/14  SIDOARJO;031-8557107;SUKEMI, ST;;;;JASA;JASA
